experiment	factor	condition	ipReads
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.q5.F3332.PET.wig.cnt.gz
1	H3K9me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Healthy	hg38/counts/S0159LH1.ERX1007461.H3K4me1.bwa.GRCh38.20151029.cnt.gz
1	H3K9me3	Healthy	hg38/counts/S0159LH1.ERX1007462.H3K9me3.bwa.GRCh38.20151029.cnt.gz
1	H3K27ac	Healthy	hg38/counts/S0159LH1.ERX1007481.H3K27ac.bwa.GRCh38.20151029.cnt.gz
1	H3K36me3	Healthy	hg38/counts/S0159LH1.ERX1007482.H3K36me3.bwa.GRCh38.20151029.cnt.gz
1	H3K27me3	Healthy	hg38/counts/S0159LH1.ERX1007483.H3K27me3.bwa.GRCh38.20151029.cnt.gz
1	H3K4me3	Healthy	hg38/counts/S0159LH1.ERX1122444.H3K4me3.bwa.GRCh38.20151029.cnt.gz
1	H3K27me3	Healthy	hg38/counts/S00X9SH1.ERX712739.H3K27me3.bwa.GRCh38.20150529.cnt.gz
1	H3K36me3	Healthy	hg38/counts/S00X9SH1.ERX712740.H3K36me3.bwa.GRCh38.20150529.cnt.gz
1	H3K4me1	Healthy	hg38/counts/S00X9SH1.ERX712741.H3K4me1.bwa.GRCh38.20150529.cnt.gz
1	H3K4me3	Healthy	hg38/counts/S00X9SH1.ERX712777.H3K4me3.bwa.GRCh38.20150529.cnt.gz
1	H3K27ac	Healthy	hg38/counts/S00X9SH1.ERX712778.H3K27ac.bwa.GRCh38.20150529.cnt.gz
1	H3K9me3	Healthy	hg38/counts/S00X9SH1.ERX712779.H3K9me3.bwa.GRCh38.20150529.cnt.gz
1	H3K4me1	Healthy	hg38/counts/S00XAQH1.ERX1295588.H3K4me1.bwa.GRCh38.20160126.cnt.gz
1	H3K4me3	Healthy	hg38/counts/S00XAQH1.ERX712759.H3K4me3.bwa.GRCh38.20150528.cnt.gz
1	H3K27ac	Healthy	hg38/counts/S00XAQH1.ERX712760.H3K27ac.bwa.GRCh38.20150529.cnt.gz
1	H3K36me3	Healthy	hg38/counts/S00XAQH1.ERX712761.H3K36me3.bwa.GRCh38.20150529.cnt.gz
1	H3K9me3	Healthy	hg38/counts/S00XAQH1.ERX712762.H3K9me3.bwa.GRCh38.20150529.cnt.gz
1	H3K27me3	Healthy	hg38/counts/S00XAQH1.ERX712763.H3K27me3.bwa.GRCh38.20150529.cnt.gz
1	H3K27ac	Healthy	hg38/counts/S00W1BH1.ERX712695.H3K27ac.bwa.GRCh38.20150528.cnt.gz
1	H3K36me3	Healthy	hg38/counts/S00W1BH1.ERX712696.H3K36me3.bwa.GRCh38.20150529.cnt.gz
1	H3K4me1	Healthy	hg38/counts/S00W1BH1.ERX712697.H3K4me1.bwa.GRCh38.20150528.cnt.gz
1	H3K9me3	Healthy	hg38/counts/S00W1BH1.ERX712698.H3K9me3.bwa.GRCh38.20150529.cnt.gz
1	H3K4me3	Healthy	hg38/counts/S00W1BH1.ERX712717.H3K4me3.bwa.GRCh38.20150529.cnt.gz
1	H3K27me3	Healthy	hg38/counts/S00W1BH1.ERX712775.H3K27me3.bwa.GRCh38.20150529.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K27ac.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K27me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K36me3.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K4me1.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K4me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Angular_Gyrus.H3K9me3.149.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K27ac.112.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K27ac.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K27me3.112.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K27me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K36me3.112.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K36me3.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K4me1.112.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K4me1.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K4me3.112.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K4me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K9me3.112.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Anterior_Caudate.H3K9me3.149.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K27ac.112.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K27ac.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K27me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K36me3.112.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K36me3.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K4me1.112.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K4me1.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K4me3.112.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K4me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K9me3.112.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Cingulate_Gyrus.H3K9me3.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/UCSF-UBC.Brain_Germinal_Matrix.H3K27me3.HuFGM02.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/UCSF-UBC.Brain_Germinal_Matrix.H3K36me3.HuFGM02.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/UCSF-UBC.Brain_Germinal_Matrix.H3K4me1.HuFGM02.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/UCSF-UBC.Brain_Germinal_Matrix.H3K4me3.HuFGM02.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/UCSF-UBC.Brain_Germinal_Matrix.H3K9me3.HuFGM02.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27ac.112.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27ac.149.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27ac.150.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27me3.112.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27me3.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K27me3.150.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K36me3.112.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K36me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K36me3.150.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me1.112.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me1.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me1.150.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me3.112.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me3.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K4me3.150.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K9me3.112.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K9me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Hippocampus_Middle.H3K9me3.150.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K27ac.112.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K27ac.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K27me3.112.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K27me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K36me3.112.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K36me3.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K4me1.112.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K4me1.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K4me3.112.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K4me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K9me3.112.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Inferior_Temporal_Lobe.H3K9me3.149.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K27ac.112.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K27ac.149.hg19.cnt.gz
2	H3K27me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K27me3.149.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K36me3.112.hg19.cnt.gz
2	H3K36me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K36me3.149.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K4me1.112.hg19.cnt.gz
2	H3K4me1	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K4me1.149.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K4me3.112.hg19.cnt.gz
2	H3K4me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K4me3.149.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K9me3.112.hg19.cnt.gz
2	H3K9me3	Healthy	hg19/counts/BI.Brain_Mid_Frontal_Lobe.H3K9me3.149.hg19.cnt.gz
2	H3K27ac	Healthy	hg19/counts/BI.Brain_Substantia_Nigra.H3K27ac.149.hg19.cnt.gz
