KEGG_ABC_TRANSPORTERS	hsa02010
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	hsa00270
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	hsa04060
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	hsa04623
KEGG_DILATED_CARDIOMYOPATHY	hsa05414
KEGG_DNA_REPLICATION	hsa03030
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	hsa00982
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	hsa00983
KEGG_ECM_RECEPTOR_INTERACTION	hsa04512
KEGG_ENDOCYTOSIS	hsa04144
KEGG_ENDOMETRIAL_CANCER	hsa05213
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	hsa05120
KEGG_ERBB_SIGNALING_PATHWAY	hsa04012
KEGG_ETHER_LIPID_METABOLISM	hsa00565
KEGG_FATTY_ACID_METABOLISM	hsa00071
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	hsa04664
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	hsa04666
KEGG_FOCAL_ADHESION	hsa04510
KEGG_FOLATE_BIOSYNTHESIS	hsa00790
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	hsa00051
KEGG_GALACTOSE_METABOLISM	hsa00052
KEGG_GAP_JUNCTION	hsa04540
KEGG_GLIOMA	hsa05214
KEGG_GLUTATHIONE_METABOLISM	hsa00480
KEGG_GLYCEROLIPID_METABOLISM	hsa00561
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	hsa00564
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	hsa00260
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	hsa00010
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	hsa00532
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	hsa00534
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	hsa00533
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	hsa00531
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	hsa00604
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	hsa00603
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	hsa00601
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	hsa00563
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	hsa00630
KEGG_GNRH_SIGNALING_PATHWAY	hsa04912
KEGG_GRAFT_VERSUS_HOST_DISEASE	hsa05332
KEGG_HEDGEHOG_SIGNALING_PATHWAY	hsa04340
KEGG_HEMATOPOIETIC_CELL_LINEAGE	hsa04640
KEGG_HISTIDINE_METABOLISM	hsa00340
KEGG_HOMOLOGOUS_RECOMBINATION	hsa03440
KEGG_HUNTINGTONS_DISEASE	hsa05016
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	hsa05410
KEGG_INOSITOL_PHOSPHATE_METABOLISM	hsa00562
KEGG_INSULIN_SIGNALING_PATHWAY	hsa04910
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	hsa04672
KEGG_JAK_STAT_SIGNALING_PATHWAY	hsa04630
KEGG_LEISHMANIA_INFECTION	hsa05140
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	hsa04670
KEGG_LINOLEIC_ACID_METABOLISM	hsa00591
KEGG_LONG_TERM_DEPRESSION	hsa04730
KEGG_LONG_TERM_POTENTIATION	hsa04720
KEGG_LYSINE_DEGRADATION	hsa00310
KEGG_LYSOSOME	hsa04142
KEGG_MAPK_SIGNALING_PATHWAY	hsa04010
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	hsa04950
KEGG_MELANOGENESIS	hsa04916
KEGG_MELANOMA	hsa05218
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	hsa00980
KEGG_MISMATCH_REPAIR	hsa03430
KEGG_MTOR_SIGNALING_PATHWAY	hsa04150
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	hsa04650
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	hsa04080
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	hsa04722
KEGG_N_GLYCAN_BIOSYNTHESIS	hsa00510
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	hsa00760
KEGG_NITROGEN_METABOLISM	hsa00910
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	hsa04621
KEGG_NON_HOMOLOGOUS_END_JOINING	hsa03450
KEGG_NON_SMALL_CELL_LUNG_CANCER	hsa05223
KEGG_NOTCH_SIGNALING_PATHWAY	hsa04330
KEGG_NUCLEOTIDE_EXCISION_REPAIR	hsa03420
KEGG_O_GLYCAN_BIOSYNTHESIS	hsa00512
KEGG_OLFACTORY_TRANSDUCTION	hsa04740
KEGG_ONE_CARBON_POOL_BY_FOLATE	hsa00670
KEGG_OOCYTE_MEIOSIS	hsa04114
KEGG_OTHER_GLYCAN_DEGRADATION	hsa00511
KEGG_OXIDATIVE_PHOSPHORYLATION	hsa00190
KEGG_P53_SIGNALING_PATHWAY	hsa04115
KEGG_PANCREATIC_CANCER	hsa05212
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	hsa00770
KEGG_PARKINSONS_DISEASE	hsa05012
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	hsa05130
KEGG_PATHWAYS_IN_CANCER	hsa05200
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	hsa00040
KEGG_PENTOSE_PHOSPHATE_PATHWAY	hsa00030
KEGG_PEROXISOME	hsa04146
KEGG_PHENYLALANINE_METABOLISM	hsa00360
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	hsa04070
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	hsa00860
KEGG_PPAR_SIGNALING_PATHWAY	hsa03320
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	hsa00120
KEGG_PRIMARY_IMMUNODEFICIENCY	hsa05340
KEGG_PRION_DISEASES	hsa05020
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	hsa04914
KEGG_PROPANOATE_METABOLISM	hsa00640
KEGG_PROSTATE_CANCER	hsa05215
KEGG_PROTEASOME	hsa03050
KEGG_PROTEIN_EXPORT	hsa03060
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	hsa04964
KEGG_PURINE_METABOLISM	hsa00230
KEGG_PYRIMIDINE_METABOLISM	hsa00240
KEGG_PYRUVATE_METABOLISM	hsa00620
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	hsa04810
KEGG_REGULATION_OF_AUTOPHAGY	hsa04140
KEGG_RENAL_CELL_CARCINOMA	hsa05211
KEGG_RENIN_ANGIOTENSIN_SYSTEM	hsa04614
KEGG_RETINOL_METABOLISM	hsa00830
KEGG_RIBOFLAVIN_METABOLISM	hsa00740
KEGG_RIBOSOME	hsa03010
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	hsa04622
KEGG_RNA_DEGRADATION	hsa03018
KEGG_RNA_POLYMERASE	hsa03020
KEGG_SELENOAMINO_ACID_METABOLISM	hsa00450
KEGG_SMALL_CELL_LUNG_CANCER	hsa05222
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	hsa04130
KEGG_SPHINGOLIPID_METABOLISM	hsa00600
KEGG_SPLICEOSOME	hsa03040
KEGG_STARCH_AND_SUCROSE_METABOLISM	hsa00500
KEGG_STEROID_BIOSYNTHESIS	hsa00100
KEGG_STEROID_HORMONE_BIOSYNTHESIS	hsa00140
KEGG_SULFUR_METABOLISM	hsa00920
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	hsa05322
KEGG_TASTE_TRANSDUCTION	hsa04742
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	hsa00430
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	hsa04660
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	hsa00900
KEGG_TGF_BETA_SIGNALING_PATHWAY	hsa04350
KEGG_THYROID_CANCER	hsa05216
KEGG_TIGHT_JUNCTION	hsa04530
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	hsa04620
KEGG_TRYPTOPHAN_METABOLISM	hsa00380
KEGG_TYPE_I_DIABETES_MELLITUS	hsa04940
KEGG_TYPE_II_DIABETES_MELLITUS	hsa04930
KEGG_TYROSINE_METABOLISM	hsa00350
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	hsa04120
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	hsa00290
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	hsa00280
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	hsa04270
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	hsa04962
KEGG_VEGF_SIGNALING_PATHWAY	hsa04370
KEGG_VIBRIO_CHOLERAE_INFECTION	hsa05110
KEGG_VIRAL_MYOCARDITIS	hsa05416
KEGG_WNT_SIGNALING_PATHWAY	hsa04310
